Year,County,Hospital,OSHPDID,Surgery,# of Cases (ICD 9),# of Cases (ICD 10),LONGITUDE,LATITUDE
2013,,Statewide,,Brain,2719.0,,,
2013,Alameda,Alta Bates Summit Medical Center ñ Alta Bates Campus,106010739.0,Brain,8.0,,-122.25784,37.85633
2013,Alameda,Highland Hospital,106010846.0,Brain,1.0,,-122.2312,37.79917
2013,Alameda,Washington Hospital ñ Fremont,106010987.0,Brain,7.0,,-121.98006,37.55847
2013,Alameda,Eden Medical Center,106014233.0,Brain,27.0,,-122.0874055,37.6983769
2013,Butte,Enloe Medical Center ñ Esplanade,106040962.0,Brain,6.0,,-121.84922,39.74224
2013,Contra Costa,John Muir Medical Center ñ Walnut Creek Campus,106070988.0,Brain,37.0,,-122.04183,37.91434
2013,Fresno,Community Regional Medical Center ñ Fresno,106100717.0,Brain,37.0,,-119.78324,36.74253
2013,Fresno,Saint Agnes Medical Center,106100899.0,Brain,4.0,,-119.7649963,36.8370782
2013,Fresno,Kaiser Foundation Hospital ñ Fresno,106104062.0,Brain,6.0,,-119.7832,36.84246
2013,Humboldt,Saint Joseph Hospital ñ Eureka,106121080.0,Brain,2.0,,-124.14216,40.7832
2013,Imperial,El Centro Regional Medical Center,106130699.0,Brain,1.0,,-115.49824,32.78138
2013,Imperial,Pioneers Memorial Healthcare District,106130760.0,Brain,1.0,,-115.55183,32.96003
2013,Kern,Bakersfield Memorial Hospital,106150722.0,Brain,15.0,,-119.00658,35.39051
2013,Kern,Kern Medical Center,106150736.0,Brain,3.0,,-118.967222,35.380833
2013,Kern,Mercy Hospital ñ Bakersfield,106150761.0,Brain,2.0,,-119.02715,35.37323
2013,Kern,San Joaquin Community Hospital,106150788.0,Brain,13.0,,-119.018775,35.383064
2013,Los Angeles,Antelope Valley Hospital,106190034.0,Brain,8.0,,-118.15767,34.68928
2013,Los Angeles,Saint Mary Medical Center ñ Long Beach,106190053.0,Brain,3.0,,-118.1866412,33.7802376
2013,Los Angeles,Beverly Hospital,106190081.0,Brain,2.0,,-118.10132,34.01614
2013,Los Angeles,Southern California Hospital At Culver City,106190110.0,Brain,1.0,,-118.39724,34.02328
