Year,County,Hospital,OSHPDID,Surgery,# of Cases (ICD 9),# of Cases (ICD 10),LONGITUDE,LATITUDE
2013,Orange,Orange Coast Memorial Medical Center,106300225.0,Rectum,22.0,,-117.95524,33.70162
2013,Orange,Orange Coast Memorial Medical Center,106300225.0,Prostate,24.0,,-117.95524,33.70162
2013,Orange,Orange Coast Memorial Medical Center,106300225.0,Pancreas,13.0,,-117.95524,33.70162
2013,Orange,Orange Coast Memorial Medical Center,106300225.0,Lung,26.0,,-117.95524,33.70162
2013,Orange,Orange Coast Memorial Medical Center,106300225.0,Liver,33.0,,-117.95524,33.70162
2013,Orange,Orange Coast Memorial Medical Center,106300225.0,Colon,48.0,,-117.95524,33.70162
2013,Orange,Orange Coast Memorial Medical Center,106300225.0,Breast,124.0,,-117.95524,33.70162
2013,Orange,Orange Coast Memorial Medical Center,106300225.0,Bladder,2.0,,-117.95524,33.70162
2013,Orange,Orange Coast Memorial Medical Center,106300225.0,Stomach,17.0,,-117.95524,33.70162
2013,Orange,Orange Coast Memorial Medical Center,106300225.0,Brain,13.0,,-117.95524,33.70162
2013,Orange,Anaheim General Hospital,106301097.0,Breast,2.0,,-118.00706,33.81716
2013,Orange,AHMC Anaheim Regional Medical Center,106301098.0,Rectum,3.0,,-117.93248,33.84725
2013,Orange,AHMC Anaheim Regional Medical Center,106301098.0,Prostate,3.0,,-117.93248,33.84725
2013,Orange,AHMC Anaheim Regional Medical Center,106301098.0,Lung,23.0,,-117.93248,33.84725
2013,Orange,AHMC Anaheim Regional Medical Center,106301098.0,Esophagus,1.0,,-117.93248,33.84725
2013,Orange,AHMC Anaheim Regional Medical Center,106301098.0,Colon,29.0,,-117.93248,33.84725
2013,Orange,AHMC Anaheim Regional Medical Center,106301098.0,Breast,105.0,,-117.93248,33.84725
2013,Orange,AHMC Anaheim Regional Medical Center,106301098.0,Brain,1.0,,-117.93248,33.84725
2013,Orange,AHMC Anaheim Regional Medical Center,106301098.0,Stomach,3.0,,-117.93248,33.84725
2013,Orange,Chapman Medical Center,106301140.0,Colon,1.0,,-117.82586,33.78785
2013,Orange,Fountain Valley Regional Hospital and Medical Center ñ Euclid,106301175.0,Stomach,3.0,,-117.93694,33.71546
2013,Orange,Fountain Valley Regional Hospital and Medical Center ñ Euclid,106301175.0,Rectum,13.0,,-117.93694,33.71546
2013,Orange,Fountain Valley Regional Hospital and Medical Center ñ Euclid,106301175.0,Prostate,12.0,,-117.93694,33.71546
2013,Orange,Fountain Valley Regional Hospital and Medical Center ñ Euclid,106301175.0,Pancreas,3.0,,-117.93694,33.71546
2013,Orange,Fountain Valley Regional Hospital and Medical Center ñ Euclid,106301175.0,Lung,12.0,,-117.93694,33.71546
2013,Orange,Fountain Valley Regional Hospital and Medical Center ñ Euclid,106301175.0,Liver,13.0,,-117.93694,33.71546
2013,Orange,Fountain Valley Regional Hospital and Medical Center ñ Euclid,106301175.0,Colon,40.0,,-117.93694,33.71546
2013,Orange,Fountain Valley Regional Hospital and Medical Center ñ Euclid,106301175.0,Breast,84.0,,-117.93694,33.71546
2013,Orange,Fountain Valley Regional Hospital and Medical Center ñ Euclid,106301175.0,Brain,10.0,,-117.93694,33.71546
2013,Orange,Fountain Valley Regional Hospital and Medical Center ñ Euclid,106301175.0,Bladder,3.0,,-117.93694,33.71546
2013,Orange,Western Medical Center Anaheim,106301188.0,Lung,1.0,,-117.90921,33.8209
2013,Orange,Western Medical Center Anaheim,106301188.0,Colon,2.0,,-117.90921,33.8209
2013,Orange,Western Medical Center Anaheim,106301188.0,Breast,5.0,,-117.90921,33.8209
2013,Orange,Hoag Memorial Hospital Presbyterian,106301205.0,Stomach,13.0,,-117.92949,33.62526
2013,Orange,Hoag Memorial Hospital Presbyterian,106301205.0,Rectum,19.0,,-117.92949,33.62526
